Station,Sr No,Age,Income,Education,Occupation,Electricity,Radio,TV,Internet,Mobile,Landline,Newspaper,Listen to Radio,AIR,Pvt,CRS,Communicate with Radio,Mode of Communication,Frequency of communication,Enough programmes,Radio Content Request, CR Listener,CR Content Consumption,Reason for choice of handset,Most Important Feature & Why,Locali Music,Bollywood Music,Pornography,Bollywood Video,Local Video,Still Images,Full Length Film,Ringtones,other,Source of Content,Recharge,Service Provider,Local Mobile,Anytime Listening,Legacy,Copy of programme,Anytime participation,,,
Gurgaon ki awaz,1,Less than 25,5-10000,E,G,8-12 HRS,X,No,Liked the handeset,Receving calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,2,40-60,5-10000,E,E,8-12 HRS,X,X,Yes,X,No,Yes,Yes,A,Reasonable,Voice Quality,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,3,Less than 25,,F,H,others,X,X,X,X,Yes,X,Yes,B,D,No,B,C,Yes,Internet is good,Internet,X,X,X,X,x,x,x,x,A,B,X,,,,,,,,,,,,,
Gurgaon ki awaz,4,Less than 25,0-5000,A,B,8-12 HRS,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,5,40-60,5-10000,E,L,8-12hrs,X,X,Yes,X,NO,YES,H,NO,A,Brand,Battery back up & brand,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,6,Less than 25,0-5000,E,G,4-8 Hrs,X,Yes,X,NO,YES,A,Liked the handset,Dual SIM, Brand,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,7,25-40,5-10000,C,L,8-12hRS,X,Yes,X,YES,B,D,YES,YES,A,Company Handest,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,8,25-40,,E,I,others,X,X,X,Yes,X,No,Yes,A,Only voice calls,Sound quality,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,9,25-40,5-10000,A,G,4-8 Hrs,X,Yes,X,NO,Yes,F,Yes,A,G,Reasonable, MUSIC PLAYER,Music Player,X,X,X,X,X,A,X,X,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,10,25-40,,C,I,8-12HRS,X,X,Yes,X,No,Yes,A,D,Needs only for voice calls & cheap,Radio,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,11,25-40,5-10000,C,G,8-12HRS,X,Yes,X,YES,B,D,Yes,H,Yes,A,Resonable,Good battery back up,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,12,Above 60,0-5000,B,I &K,4 -8 Hrs,X,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,13,25-40,5-10000,D,I,others,X,X,X,Yes,X,YES,B,C,YES,YES,A,D,Only needed for voice calls,sound quality,X,X,C,X,X,X,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,14,Above 60,0-5000,B,I &K,4-8 Hrs,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,15,40-60,,C,I,others,X,X,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,16,Less than 25,,F,H,others,X,X,X,X,Yes,X,YES,B,D,YES,A, I,Liked the handset,Sound quality,X,X,X,A,X,X,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,17,40-60,0-5000,D,G,8-12HRS,X,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,18,40-60,10-15000,C,E,others,X,X,X,Yes,X,NO,YES,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,19,25-40,15000 and above,F,E,4-8HRS,X,X,X,Yes,X,X,NO,YES,YES,A,C,Brand, battery back up,good speakers,battery back up,X,X,X,X,X,X,X,X,C,X,X,,,,,,,,,,,,,
Gurgaon ki awaz,20,Above 60,0-5000,D,E,8-12HRS,X,X,Yes,X,YES,B,A,YES,YES,A,vocie calls,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,21,Less than 25,,F,H,others,X,X,X,X,X,Yes,X,NO,Yes,A,Yes,A,net, GPRS,internet & GPRS,X,X,X,X,A,B,X,X,X,,,,,,,,,,,,,,,
Gurgaon ki awaz,22,40-60,5-10000,E,E,others,X,X,Yes,X,X,X,NO,YES,A,easy to use,reasonable  & radio,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,23,25-40,5-10000,D,I,8-12hrs,X,X,Yes,X,X,NO,Yes,A,F,Yes,A,D,G,Trustworthy brand & sturdy,battery back up,X,X,X,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,24,40-60,5-10000,D,E,8-12hrs,X,Yes,X,No,Yes,E,Yes,A,D,reasonably priced,good battery,FM radio,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,25,25-40,10-15000,A,K,8-12hrs,X,X,Yes,X,Yes,C,Yes,reasonably priced,Good battery life,X,X,X,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,26,Above 60,15000 and above,D,G,8-12hrs,x,X,Yes,X,Yes,F,G,H,Yes,A,D,G,good sound quality,Good battery life,X,X,X,A,X,X,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,27,25-40,5-10000,A,E,8-12HRS,X,NO,reasonably priced,voice calls,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,28,25-40,5-10000,E,G,8-12HRS,X,X,Yes,X,X,YES,YES,A,Company Handest,Radio, Good battery life,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,29,Less than 25,0-5000,E,I,8-12hrs,X,Yes,X,NO,YES,A,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,30,Less than 25,0-5000,E,H,8-12hrs,X,NO,Liked the handset,WAP, GPRS & entertainment,X,X,X,A,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,31,Less than 25,5-10000,E,F,8-12hrs,X,Yes,X,NO,NO,Resonable,games,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,32,Less than 25,5-10000,C,G,8-12hrs,X,NO,Liked the handset,voice calls,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,33,Less than 25,0-5000,C,G,8-12hrs,X,Yes,X,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,34,40-60,5-10000,C,B,8-12hrs,X,Yes,X,YES,B,A,YES,A,Reasonable,good sound quality,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,35,25-40,5-10000,E,E,8-12hrs,X,Yes,X,NO,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,36,Less than 25,0-5000,E,E,8-12hrs,X,X,Yes,X,NO,Yes,Liked the handset,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,37,Less than 25,0-5000,G,,8-12hrs,X,X,Yes,X,YES,B,A,Yes,YES,A,Good sound quality,Listenining to songs,X,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,38,Less than 25,0-5000,A,G,8-12hrs,X,Yes,X,No,Yes,YES,A,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,39,40-60,5-10000,E,E,8-12hrs,X,Yes,X,No,Yes,YES,A,Voice calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,40,25-40,5-10000,D,G,8-12hrs,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,41,40-60,5-10000,D,A,4-8HRS,X,NO,Reasonable,Voice calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,42,25-40,0-5000,E,K,8-12hrs,X,NO,Liked the handset,Games,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,43,25-40,0-5000,E,H,8-12hrs,X,Yes,X,NO,YES,NO,Best handset in 3k,battery back up & dual sim,X,X,X,A,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,44,Above 60,5-10000,D,A,8-12hrs,X,NO,small & good battery,battery back up,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,45,40-60,0-5000,A,B,8-12hrs,X,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,46,Less than 25,0-5000,E,H,8-12hrs,X,X,Yes,X,X,NO,YES,I,brand,music player, net,X,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,47,40-60,5-10000,C,G,8-12hrs,X,Yes,X,X,NO,YES,YES,A,brand, Looks,MUsic player,,X,B,X,X,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,48,25-40,0-5000,D,E,8-12hrs,X,NO,Brand, touch screen, batteru, games,music player & games,X,X,A,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,49,40-60,0-5000,E,G,8-12hrs,X,No,good battery & compoany handset,good battery & torch,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon ki awaz,50,40-60,5-10000,A,A,8-12hrs,X,NO,reasonable,easy to use, small,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,1,25-40,0-5000,E,F,0-4 hours,X,X,X,X,No,No,A, B,C,F,Can access internet through the device,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,
Kumaon Vani,2,40-60,0-5000,E,A,4-8 hours,X,X,X,Yes,X,Yes,A,A,Yes,A,B,C,D,F,Yes,A,F,H,J,FM radio,X,X,X,X,,,,,,,,,,,,,,,
Kumaon Vani,3,25-40,0-5000,D,A,4-8 hours,X,X,Yes,X,Yes,C,C,Yes,A,B,D,F,Yes,A,E,G,I,FM radio,X,X,X,A,C,X,X,X,,,,,,,,,,,,,
Kumaon Vani,4,Above 60,0-5000,B,A,4-8 hours,X,X,Yes,X,Yes,D,Yes,A,B,D,Yes,A,E,G,X,,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,5,Less than 25,0-5000,E,H,0-4 hours,X,X,Yes,X,X,X,Yes,A,B,Yes,A,B,C,E,F,Yes,A,B,C,D,F,G,I,Multimedia, Internet and FM radio,X,X,X,X,X,A,C,X,X,X,,,,
Kumaon Vani,6,40-60,0-5000,C,A,8-12 hours,X,X,Yes,X,Yes,C,C,Yes,A,B,D,F,Yes,A,FM radio,X,X,X,X,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,7,25-40,10-15000,F,F,0-4 hours,X,X,X,Yes,X,X,Yes,A,B,D,B,Yes,A,B,C,E,F,Yes,A,B,D,F,G,I,Internet and Multimedia,X,X,X,X,X,X,A,B,C,X,X,X,,
Kumaon Vani,8,Less than 25,0-5000,E,E,8-12 hours,X,X,X,X,X,Yes,X,X,X,Yes,A,B,A,Yes,Yes,A,I,Intenet, Music Player and SD Card,Internet,X,B,X,X,,,,,,,,,,,,,,,
Kumaon Vani,9,Less than 25,0-5000,E,E,8-12 hours,X,X,X,X,Yes,X,X,X,Yes,A,B,A,Yes,Yes,D,F,FM radio, Music Player,Music Player,X,X,B,X,X,,,,,,,,,,,,,,,
Kumaon Vani,10,Above 60,0-5000,A,A,8-12 hours,X,Yes,X,X,No,Yes,Yes,C,E,FM radio and torch,FM radio and Torch,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,11,Less than 25,5-10000,E,E,8-12 hours,X,X,X,X,X,Yes,X,X,X,Yes,A,A,Yes,Yes,A,D,Internet, Camera and Music Player,Internet,X,A,B,X,X,,,,,,,,,,,,,,,
Kumaon Vani,12,Less than 25,0-5000,E,E,8-12 hours,X,X,X,X,Yes,X,Yes,A,B,A,Yes,Yes,A,D,E,Camera, FM radio, Torch,FM and Camera,X,X,A,B,X,X,,,,,,,,,,,,,,
Kumaon Vani,13,25-40,0-5000,E,A,8-12 hours,X,X,X,Yes,X,Yes,A,A,Yes,Yes,F, I,FM, Torch, Camera, Music player,Torch and FM,X,X,B,X,X,,,,,,,,,,,,,,,,,
Kumaon Vani,14,Less than 25,0-5000,E,E,8-12 hours,X,X,X,X,Yes,X,Yes,A,A,Yes,B,E,Yes,A,D,FM, Torch,Entertainment,X,X,X,C,X,X,,,,,,,,,,,,,,,
Kumaon Vani,15,Less than 25,0-5000,D,H,8-12 hours,X,X,X,Yes,X,X,X,Yes,B,A,No,E,Yes,A,D,Torch, FM,FM, Entertainment,X,X,A,X,X,,,,,,,,,,,,,,,
Kumaon Vani,16,40-60,0-5000,B,A,8-12 hours,X,X,Yes,X,No,Yes,F,Yes,A,Bluetooth,SD card, Torch,Torch,X,A,B,X,X,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,17,40-60,0-5000,B,A,8-12 hours,X,X,X,X,Yes,X,X,No,Yes,Yes,D,E,Memory card, Music Player, FM,Memory Card,X,X,X,B,X,X,,,,,,,,,,,,,,,,,
Kumaon Vani,18,25-40,5-10000,E,H,8-12 hours,X,X,X,X,Yes,X,No,Yes,No,A,D,Music Player, Calculator, Torch, FM,FM,X,A,B,X,X,,,,,,,,,,,,,,,,,,
Kumaon Vani,19,25-40,0-5000,E,E,8-12 hours,X,X,X,X,X,Yes,X,X,Yes,D,B,Yes,B,E,G,Yes,A,D,F,H,Torch,C,X,,,,,,,,,,,,,,,,
Kumaon Vani,20,25-40,10-15000,E,H,8-12 hours,X,X,X,X,Yes,X,Yes,A,B,C,A,Yes,B,C,E,Yes,A,C,F,Music Player, FM,Internet,X,X,A,C,X,X,,,,,,,,,,,
Kumaon Vani,21,25-40,0-5000,E,A,8-12 hours,X,X,X,X,Yes,X,X,Yes,B,C,Yes,D,Yes,A,E,FM, Torch, Calculator, Camera,Information and Entertainment,X,X,B,C,X,X,,,,,,,,,,,,,
Kumaon Vani,22,25-40,0-5000,D,F,8-12 hours,X,X,X,X,Yes,X,X,Yes,A,B,Yes,B,G,Yes,B,C,I,Music Player, FM, Internet, Camera,Entertainment and Internet,X,X,A,C,X,X,X,,,,,,,,,,
Kumaon Vani,23,25-40,0-5000,D,H,8-12 hours,X,X,Yes,X,Yes,B,B,Yes,C,Yes,C,I,Games,X,,,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,24,25-40,0-5000,E,A,8-12 hours,X,X,X,Yes,X,Yes,A,B,A,Yes,B,D,Yes,A,E,FM radio,X,X,X,C,X,X,,,,,,,,,,,,,,,,,
Kumaon Vani,25,25-40,0-5000,D,A,8-12 hours,X,X,X,Yes,X,Yes,B,B,Yes,D,E,Yes,A,D,E,FM radio,X,C,X,X,,,,,,,,,,,,,,,,,,,
Kumaon Vani,26,25-40,0-5000,G,,8-12 hours,X,X,X,X,Yes,X,X,Yes,B,B,Yes,D,H,Yes,A,E,FM radio,X,X,C,X,X,,,,,,,,,,,,,,,,,
Kumaon Vani,27,40-60,10-15000,D,A,4-8 hours,X,X,X,Yes,X,Yes,B,B,Yes,B,D,H,Yes,A,D,E,FM radio and torch,X,C,X,X,,,,,,,,,,,,,,,,,,
Kumaon Vani,28,Above 60,0-5000,D,A,4-8 hours,X,Yes,X,X,X,No,No,A,B,Yes,A,E,Easy to use,reasonable cost, torch,X,X,X,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,29,Less than 25,0-5000,E,H,4-8 hours,X,X,X,X,Yes,X,Yes,B,C,Yes,A,A,I,Good battery back up,Internet,X,X,X,A,X,X,,,,,,,,,,,,,,,,,,
Kumaon Vani,30,Less than 25,0-5000,E,H,4-8 hours,X,X,X,X,X,Yes,X,X,X,Yes,A,B,D,A,Yes,A,C,D,F,G,Yes,A,I,3G facility,Torch and touch screen,X,X,X,A,C,X,X,,,,,,,
Kumaon Vani,31,25-40,0-5000,C,A,4-8 hours,X,X,Yes,X,Yes,C,D,No,C,E,Yes,A,E,Trusted brand, torch,X,X,X,A,C,X,X,,,,,,,,,,,,,,,,,
Kumaon Vani,32,Above 60,0-5000,E,G,4-8 hours,X,X,X,Yes,X,Yes,D,C,No,C,F,Yes,A,E,Trusted brand, easy to use,X,X,C,X,X,,,,,,,,,,,,,,,,,,
Kumaon Vani,33,25-40,5-10000,E,A,4-8 hours,X,Yes,X,X,Yes,B,B,Yes,A,D,Yes,A,E,FM radio,FM Radio,X,X,C,X,X,,,,,,,,,,,,,,,,,,,
Kumaon Vani,34,40-60,5-10000,F,I,4-8 hours,X,Yes,X,X,Yes,B,C,No,A,Yes,A,B,FM radio,Good sound quality,X,X,A,X,X,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,35,Less than 25,0-5000,D,H,4-8 hours,X,X,X,X,Yes,X,Yes,A,B,C,A,Yes,A,B,C,A,E,G,I,Torch, Battery Life and FM Radio,Torch,X,X,X,X,X,C,X,X,,,,,,,,,
Kumaon Vani,36,40-60,0-5000,D,A,4-8 hours,X,X,Yes,X,X,No,Yes,A,B,C,A,B,C,D,E,G,I,Torch, Memory Card,FM Radio,X,X,X,A,C,X,X,,,,,,,,,,,,
Kumaon Vani,37,Less than 25,0-5000,E,E,4-8 hours,X,X,No,No,No,A,H,A,E,Easy to use,Memory card to store songs,X,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,38,40-60,0-5000,A,A,0-4 hours,X,Yes,X,Yes,A,A,No,B,B,FM radio,FM Radio,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,39,Less than 25,,E,H,8-12 hours,X,X,Yes,X,Yes,A,A,No,B,C,A,I,Lots of features,Internet and Radio,X,X,X,X,X,A,B,X,X,X,,,,,,,,,,,,,,,
Kumaon Vani,40,25-40,0-5000,C,A,4-8 hours,X,X,Yes,X,No,Yes,A,Music Player,Media player,X,X,X,X,B,X,X,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,41,Less than 25,0-5000,E,H,4-8 hours,X,X,Yes,X,X,Yes,A,B,A,Yes,A,D,A,B,C,E,G,I,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,42,25-40,0-5000,E,A,4-8 hours,X,Yes,X,No,No,A,B,A,B,Internet,Internet and Music,X,X,X,X,X,B,X,X,X,,,,,,,,,,,,,,,,,,,
