Station,Sr No,Age,Income,Education,Occupation,Electricity,Radio,TV,Internet,Mobile,Landline,Newspaper,Listen to Radio,AIR,Pvt,CRS,Communicate with Radio,Mode of Communication,Frequency of communication,Enough programmes,Radio Content Request, CR Listener,CR Content Consumption,Reason for choice of handset,Most Important Feature & Why,Locali Music,Bollywood Music,Pornography,Bollywood Video,Local Video,Still Images,Full Length Film,Ringtones,other,Source of Content,Recharge,Service Provider,Local Mobile,Anytime Listening,Legacy,Copy of programme,Anytime participation,,,
Kumaon Vani,43,40-60,5-10000,D,E,4-8 hours,X,X,Yes,X,Yes,B,B,No,C,E,A,Features,Camera and Radio,X,X,X,X,B,X,X,X,,,,,,,,,,,,,,,,,,
Kumaon Vani,44,Less than 25,5-10000,E,B,4-8 hours,X,X,X,X,,,Yes,,,X,No,,,No,B,C,F,,A,B,C,Multimedia,FM Radio,X,X,,,,X,,X,,A,B,X,,,X,
Kumaon Vani,45,40-60,0-5000,C,A,0-4 hours,X,X,Yes,X,No,No,B,D,D,FM radio,FM Radio,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,46,25-40,5-10000,E,G,4-8 hours,X,X,Yes,X,No,No,A,B,C,B,C,D,Multimedia,FM, Camera and Photographs,X,X,X,X,X,X,B,X,X,X,,,,,,,,,,,,,,
Kumaon Vani,47,25-40,0-5000,D,A,4-8 hours,X,Yes,X,Yes,A,A,No,B,D,A,C,FM radio,FM Radio,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Kumaon Vani,48,Less than 25,0-5000,E,H,4-8 hours,X,X,X,Yes,X,X,Yes,A,B,C,B,Yes,A,B,F,A,B,D,I,Music Player, FM,X,X,X,X,X,X,A,C,X,X,X,,,,,,,
Kumaon Vani,49,Less than 25,0-5000,E,H,0-4 hours,X,X,X,X,No,No,No,A,B,C,D,A,I,Z,X,X,X,X,X,A,B,X,X,X,X,X,,,,,,,,,,,,,
Kumaon Vani,50,40-60,0-5000,B,A,4-8 hours,X,X,No,No,B,D,Torch,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,1,25-40,0-5000,D,A,B,8-12 hours,X,X,Yes,X,No,Yes,A,E,F,G,I,Keeps you connceted with your family when you go out,Functioning Sim Card,X,X,X,From Lalit Lokvani,X,X,X,,,,,,,,,,,,,,,,,,
Lalit lokvani,2,25-40,5-10000,E,G,4-8 hours,X,X,X,Yes,X,No,Yes,To talk,All features,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,3,Less than 25,0-5000,F,E,4-8 hours,X,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,4,25-40,0-5000,C,K,4-8 hours,X,No,For entertainment,Battery Life,X,X,X,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,5,25-40,10-15000,E,F,4-8 hours,X,X,X,X,No,To talk,Voice calls,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,6,25-40,0-5000,E,G,4-8 hours,X,X,No,To talk,Battery Life,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,7,40-60,0-5000,B,A,B,4-8 hours,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,8,Less than 25,0-5000,F,E,4-8 hours,X,X,X,X,No,To talk and for entertainment,All features,X,X,X,X,X,X,A,C,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Lalit lokvani,9,25-40,0-5000,E,A,B,4-8 hours,X,X,No,To talk,Voice calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,10,25-40,5-10000,D,E,4-8 hours,X,X,X,X,X,Yes,X,X,Yes,B,C,B,Yes,A,B,C,D,E,F,G,H,I,Camera,All features,X,X,X,X,X,A,C,X,X,X,X,X,,,
Lalit lokvani,11,Less than 25,0-5000,E,H,4-8 hours,X,X,X,No,To talk and stay conncetd to family,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,12,40-60,0-5000,C,A,B,4-8 hours,X,X,Yes,X,No,Yes,B,C,D,E,F,G,H,I,X,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,13,Less than 25,0-5000,E,A,B,4-8 hours,X,X,X,Yes,X,Yes,A,B,A,Yes,A,B,C,D,E,F,G,H,I,To talk and listen to music,Music player,X,X,X,X,X,X,X,A,C,X,X,X,X,,,,
Lalit lokvani,14,25-40,0-5000,D,A,4-8 hours,X,No,To talk,Voice calls,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,15,Less than 25,0-5000,E,A,4-8 hours,X,X,X,X,No,Music,to talk, film and games,Battery life,X,X,X,X,X,A,C,X,X,X,X,X,,,,,,,,,,,,,,,,,,
Lalit lokvani,16,25-40,0-5000,C,A,4-8 hours,X,X,Yes,X,No,No,D,To talk,Battery life,X,X,X,X,X,X,X,A,C,X,X,,,,,,,,,,,,,,,,,,,
Lalit lokvani,17,Less than 25,0-5000,D,A,B,4-8 hours,X,X,No,To talk,Music,X,X,X,X,X,X,X,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,18,40-60,0-5000,A,A,B,4-8 hours,X,No,To talk,Voice calls,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,19,Less than 25,0-5000,B,A,B,0-4 hours,X,X,X,Yes,X,Yes,A,A,Yes,A,D,B,E,To talk,X,X,X,X,X,C and Lalit Lokvani,X,X,X,,,,,,,,,,,,,,,
Lalit lokvani,20,25-40,0-5000,C,A,B,4-8 hours,X,X,No,To listen to music,Music player,X,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,21,25-40,0-5000,D,A,B,4-8 hours,X,X,No,To talk and watch films,Voice calls,X,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,22,25-40,0-5000,C,B,4-8 hours,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,23,25-40,0-5000,C,I,4-8 hours,X,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,24,Less than 25,0-5000,D,A,B,8-12 hours,Yes,X,Yes,C,C,Yes,A,G,H,I,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,25,Less than 25,0-5000,D,B,8-12 hours,X,X,X,Yes,X,Yes,B,D,A,Yes,A,E,I,To talk,To talk,X,X,X,X,X,X,X,X,C,X,X,,,,,,,,,,,,,
Lalit lokvani,26,Less than 25,0-5000,F,H,8-12 hours,X,X,X,X,X,X,Yes,X,X,Yes,B,D,C,Yes,A,B,C,D,E,F,G,H,I,To talk,Internet,X,X,X,X,X,X,X,A,C,X,X,X,X,X
Lalit lokvani,27,Less than 25,0-5000,F,H,8-12 hours,X,X,X,X,Yes,X,Yes,A,B,C,D,A,Yes,A,To talk,Internet,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,
Lalit lokvani,28,Less than 25,0-5000,F,H,8-12 hours,X,Yes,X,Yes,B,D,C,Yes,C,H,I,To talk and play games,Games,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,29,40-60,0-5000,A,A,8-12 hours,X,No,To talk,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,30,Less than 25,0-5000,C,G,8-12 hours,X,X,To talk,X,X,X,X,X,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,31,40-60,0-5000,C,A,4-8 hours,X,X,X,Yes,X,X,No,Yes,A,E,I,To talk,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,32,Less than 25,5-10000,F,E,8-12 hours,X,X,X,No,To talk,Functioning Sim Card,X,X,X,X,X,X,X,X,A,C,X,X,X,X,,,,,,,,,,,,,,,,,,,
Lalit lokvani,33,25-40,0-5000,A,A,B,8-12 hours,X,Yes,X,Yes,B,B,Yes,A,D,E,F,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,34,Less than 25,5-10000,E,D,8-12 hours,X,X,X,X,X,X,Yes,X,X,Yes,B,B,Yes,A,B,C,D,E,F,G,H,I,To stay connected,Functioning Sim Card,X,X,X,X,C,X,X,X,,,,,,,
Lalit lokvani,35,25-40,0-5000,B,A,B,8-12 hours,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,36,40-60,0-5000,A,A,8-12 hours,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,37,25-40,0-5000,E,G,8-12 hours,X,X,No,To talk,Functioning Sim Card,X,X,X,X,C,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,38,Less than 25,0-5000,E,H,8-12 hours,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,39,Less than 25,0-5000,D,B,8-12 hours,X,No,To talk,X,X,X,X,X,C,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,40,Less than 25,0-5000,F,H,8-12 hours,X,X,X,X,X,Yes,X,Yes,D,Yes,C,I,To talk,Functioning Sim Card,X,X,X,X,X,C,X,X,X,,,,,,,,,,,,,,,,
Lalit lokvani,41,Less than 25,0-5000,E,H,8-12 hours,X,X,X,X,Yes,X,No,Yes,A,B,D,To talk and listen to music,Music and entertainment,X,X,X,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,
Lalit lokvani,42,25-40,0-5000,D,A,B,8-12 hours,X,X,Yes,X,Yes,D,B,Yes,B,D,E,F,To listen to music,To talk,X,X,X,X,A,C,X,X,X,,,,,,,,,,,,,,,
Lalit lokvani,43,Less than 25,0-5000,E,G,8-12 hours,X,X,X,Yes,X,Yes,A,Yes,D,E,F,G,To talk,Music, entertainment and internet,X,X,X,X,X,X,X,A,C and Lalit Lokvani,X,X,X,X,,,,,,,,,,,
Lalit lokvani,44,25-40,5-10000,E,F,X,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,45,25-40,0-5000,C,A,B,8-12 hours,X,X,No,To talk,Sim card and battery,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,46,Less than 25,,E,H,8-12 hours,X,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,47,Less than 25,0-5000,D,A,B,4-8 hours,V,No,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,48,25-40,0-5000,F,E,8-12 hours,X,X,X,X,No,To talk,Sim card,X,X,X,X,A,C,X,x,X,,,,,,,,,,,,,,,,,,,,,,,
Lalit lokvani,49,25-40,0-5000,E,A,8-12 hours,X,X,Yes,X,Yes,A,B,A,Yes,A,B,C,D,E,F,G,To talk and listen to music,Mp3 player,X,X,X,X,X,X,X,A,C,X,X,X,X,,,,,,,,
Lalit lokvani,50,40-60,10-15000,F,E,16-17 hours,X,X,X,X,X,X,Yes,X,X,Yes,B,B,Yes,A,B,C,D,E,F,G,H,I,Looks good, FM radio and multimedia,Music, radio  and entertainment,X,X,X,X,X,A,C,X,X,,,,
Radio bundelkhand,1,Less than 25,0-5000,E,H,24 hrs,O,X,O,Y,O,O,1,O,X,O,No,Yes,A,O,O,O,O,O,O,O,400,O,O,O,O,,,,,,,,,,,,,,
Radio bundelkhand,2,Less than 25,0-5000,E,D,4-8 hrs,O,X,O,Y,O,O,1,X,X,X,No,Yes,H,Yes,A,O,X,O,X,X,O,O,Bluetooth,700,O,O,O,X,,,,,,,,,,,
Radio bundelkhand,3,25-40,10-15000,D,F,24 hrs,O,X,O,Y,O,X,1,O,O,O,O,O,O,O,O,O,O,600,O,O,X,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,4,Less than 25,0-5000,E,H,24 hrs,X,X,X,Y,X,X,1,O,X,O,No,Yes,B, H,Yes,A,X,X,O,X,X,X,X,Bluetooth, SD Card, Shop,2000,X,O,O,X,,,,,,,,
Radio bundelkhand,5,25-40,0-5000,D,D,24 hrs,X,X,O,Y,O,O,1,X,X,X,No,No,H,Yes,A, E, F, G, H, I,O,O,O,O,O,O,O,300,O,X,O,O,,,,,,,
Radio bundelkhand,6,Less than 25,0-5000,E,H,8-12 hrs,O,X,O,Y,O,X,0,O,O,O,O,X,O,O,O,X,X,600,O,O,X,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,7,Less than 25,0-5000,E,D,24 hrs,O,X,X,Y,O,O,0,O,O,O,O,X,X,O,O,O,O,SD Card,700,X,O,O,O,,,,,,,,,,,,,,,,
Radio bundelkhand,8,25-40,0-5000,E,E,0-4 hrs,X,X,O,Y,O,O,0,O,O,O,X,O,O,X,X,X,X,Bluetooth, SD Card,150,X,O,X,O,,,,,,,,,,,,,,,
Radio bundelkhand,9,Less than 25,0-5000,E,E,24 hrs,O,X,O,Y,O,O,1,O,X,O,Yes,Yes,O,X,O,X,O,X,O,Bluetooth, SD Card, Shop,100,30,O,O,X,X,,,,,,,,,,,
Radio bundelkhand,10,25-40,5-10000,F,E,24 hrs,O,X,X,Y,O,X,1,O,X,O,No,Yes,H,X,X,O,O,X,X,X,Shop,1600,O,O,X,O,,,,,,,,,,,,,
Radio bundelkhand,11,Less than 25,0-5000,F,H,8-12 hrs,O,X,X,Y,O,X,1,X,X,X,No,No,C,Yes,A, D,O,O,O,O,O,O,O,900,O,X,O,O,,,,,,,,,,,
Radio bundelkhand,12,40-60,10-15000,E,E,8-12 hrs,O,X,O,Y,O,O,1,O,O,X,No,Yes,A,Yes,X,O,O,O,O,O,O,1500,150,O,O,X,O,,,,,,,,,,,,
Radio bundelkhand,13,Less than 25,0-5000,F,E, H,24 hrs,O,X,O,Y,O,X,1,O,X,O,No,Yes,O,O,O,O,O,O,O,300,30,O,O,O,X,,,,,,,,,,,,,
Radio bundelkhand,14,Above 60,0-5000,E,A,8-12 hrs,O,X,O,Y,O,X,1,X,X,X,No,Yes,Yes,A, E,O,O,O,O,O,O,O,150,O,X,O,O,,,,,,,,,,,,
Radio bundelkhand,15,40-60,0-5000,D,D,8-12 hrs,O,O,O,Y,O,O,0,O,O,O,O,O,O,O,O,O,O,50,X,O,O,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,16,25-40,5-10000,E,E,8-12 hrs,O,X,O,Y,X,X,1,O,X,O,No,Yes,B,C,D,F,G,I,O,X,O,X,O,X,X,Shop,350,50,O,O,O,X,,,,,,,
Radio bundelkhand,17,25-40,0-5000,E,D,8-12 hrs,X,X,O,Y,O,O,1,O,O,X,No,A, H,Yes,A,B,D,X,X,O,X,O,X,O,Shop,2000,100,O,X,O,O,,,,,,,,
Radio bundelkhand,18,25-40,5-10000,E,D,24 hrs,O,X,O,Y,O,O,1,X,X,X,No,Yes,Yes,A,,O,O,O,O,O,X,X,150,O,O,X,X,,,,,,,,,,,,
Radio bundelkhand,19,Less than 25,5-10000,E,A,4-8 hrs,O,X,O,Y,O,O,0,O,O,O,O,X,O,X,O,X,X,Bluetooth, Shop,300,80,O,O,X,O,,,,,,,,,,,,,,
Radio bundelkhand,20,Less than 25,0-5000,F,D,24 hrs,O,X,X,Y,O,X,0,O,O,O,O,X,O,X,O,X,X,Shop,250,150,O,O,X,O,,,,,,,,,,,,,,,
Radio bundelkhand,21,40-60,0-5000,D,D,24 hrs,X,X,O,Y,O,O,1,X,O,O,No,No,X,O,X,O,O,X,X,Shop,70,40,200,X,X,O,O,,,,,,,,,,,,
Radio bundelkhand,22,25-40,0-5000,E,D,24 hrs,O,X,O,Y,O,X,0,O,O,O,O,O,O,O,O,O,O,300,30,X,X,O,X,,,,,,,,,,,,,,,,
Radio bundelkhand,23,Less than 25,0-5000,E,D,8-12 hrs,O,X,O,Y,X,X,0,O,O,O,O,O,O,O,O,O,O,900,30,X,O,O,O,,,,,,,,,,,,,,,,
Radio bundelkhand,24,Less than 25,15000 and above,E,D,24 hrs,X,X,O,Y,X,X,1,X,O,X,No,Yes,Yes,A,O,X,O,O,O,O,X,Bluetooth, Shop,250,30,50,X,X,X,O,,,,,,,,,
Radio bundelkhand,25,Less than 25,5-10000,E,D,24 hrs,O,X,O,Y,O,O,0,O,O,O,O,X,O,X,O,X,X,Internet,250,O,O,O,O,,,,,,,,,,,,,,,,
Radio bundelkhand,26,Less than 25,0-5000,E,D,24 hrs,O,X,O,Y,O,X,0,O,O,O,O,X,O,O,O,X,X,Bluetooth, SD Card,200,O,O,O,O,,,,,,,,,,,,,,,
Radio bundelkhand,27,25-40,0-5000,D,A,0-4 hrs,O,O,O,Y,O,O,0,O,O,O,O,O,O,O,O,O,O,70,O,O,O,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,28,25-40,0-5000,E,D,8-12 hrs,X,X,O,Y,O,X,1,O,O,O,No,B,D,Yes,E,O,O,O,O,O,O,O,200,100,X,O,O,O,,,,,,,,,,,
Radio bundelkhand,29,25-40,0-5000,E,E,24 hrs,O,O,O,Y,O,O,0,O,O,O,O,O,O,O,O,O,O,200,O,O,O,X,,,,,,,,,,,,,,,,,
Radio bundelkhand,30,25-40,0-5000,F,I,8-12 hrs,O,X,O,Y,O,O,0,O,O,O,O,X,O,X,O,X,O,SD Card,200,O,O,O,O,,,,,,,,,,,,,,,,
Radio bundelkhand,31,25-40,5-10000,D,I,8-12 hrs,O,X,O,Y,O,O,1,O,X,O,X,X,O,X,X,X,O,Bluetooth, Shop,O,O,O,O,,,,,,,,,,,,,,,,
Radio bundelkhand,32,Above 60,5-10000,C,F,8-12 hrs,O,X,O,Y,O,X,0,O,O,O,O,O,O,O,O,O,O,200,O,O,O,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,33,40-60,0-5000,E,I,8-12 hrs,O,X,O,Y,O,X,0,O,O,O,O,O,O,O,O,O,O,150,O,O,O,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,34,25-40,0-5000,C,I,8-12 hrs,O,O,O,Y,O,O,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
Radio bundelkhand,35,25-40,0-5000,D,I,8-12 hrs,O,X,O,Y,O,0,O,O,O,O,O,O,O,O,O,O,150,O,O,O,X,,,,,,,,,,,,,,,,,,
Radio bundelkhand,36,Less than 25,0-5000,E,B,0-4 hrs,O,X,O,Y,O,O,1,X,X,O,O,O,O,O,O,O,O,100,X,X,X,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,37,25-40,0-5000,D,A,8-12 hrs,O,X,O,Y,O,O,1,X,X,X,No,A,X,X,O,X,O,X,X,SD Card,1000,400,X,X,X,X,,,,,,,,,,,,,
Radio bundelkhand,38,25-40,0-5000,D,A,4-8 hrs,O,O,O,Y,O,O,0,O,O,O,O,O,O,O,O,O,O,200,O,O,O,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,39,Less than 25,0-5000,E,I,8-12 hrs,O,X,O,Y,O,X,1,O,O,X,Yes,A,O,O,O,O,O,O,O,400,60,O,X,O,O,,,,,,,,,,,,,,
Radio bundelkhand,40,25-40,0-5000,D,A,8-12 hrs,O,X,O,Y,O,O,0,O,O,O,X,X,O,O,O,X,O,Bluetooth, Shop,100,30,O,X,O,O,,,,,,,,,,,,,,
Radio bundelkhand,41,25-40,0-5000,D,K,4-8 hrs,X,X,O,Y,X,O,1,O,O,O,A,O,O,O,O,O,O,O,200,30,X,X,O,X,,,,,,,,,,,,,,,
Radio bundelkhand,42,25-40,0-5000,A,G,4-8 hrs,O,X,O,Y,X,O,1,X,X,X,A,B,D,E,F,O,O,O,O,O,O,O,100,10,X,O,O,O,,,,,,,,,,,
Radio bundelkhand,43,25-40,0-5000,E,E,8-12 hrs,O,X,O,Y,O,O,0,O,O,O,O,O,O,O,O,O,O,150,X,O,O,O,,,,,,,,,,,,,,,,,
Radio bundelkhand,44,Less than 25,0-5000,F,H,8-12 hrs,O,X,O,Y,O,O,0,O,O,O,O,X,O,O,O,X,O,Shop,50,O,O,O,O,,,,,,,,,,,,,,,,
Radio bundelkhand,45,40-60,0-5000,F,A,8-12 hrs,O,X,O,Y,O,O,1,O,O,X,X,X,O,O,O,O,O,SD Card,100,O,X,O,O,,,,,,,,,,,,,,,,
