,Sr No,Age,Income,Education,Occupation,Electricity,Radio,TV,Internet,Mobile,Landline,Newspaper,Listen to Radio,AIR,Pvt,CRS,Communicate with Radio,Mode of Communication,Frequency of communication,Enough programmes,Radio Content Request, CR Listener,CR Content Consumption,Reason for choice of handset,Most Important Feature & Why,Locali Music,Bollywood Music,Pornography,Bollywood Video,Local Video,Still Images,Full Length Film,Ringtones,other,Source of Content,Recharge,Service Provider,Local Mobile,Anytime Listening,Legacy,Copy of programme,Anytime participation
0,1.0,Less than 25,"5-10,000 ",E,G,8-12 HRS,,X,,,,,No,,,,,,,,,,,Liked the handeset,Receving calls,,X,,,,X,,,,,,,,,,,
1,2.0,40-60,"5-10,000",E,E,8-12 HRS,X,X,,,,,Yes,,,X,No,,,Yes,,Yes,A,Reasonable,Voice Quality,X,,,,,,,,,A,X,,,,,,X
2,3.0,Less than 25,,F,H,others,X,X,X,X,,,Yes,,X,,Yes,B,D,No,"B,C ",Yes,,Internet is good,Internet,X,X,,X,X,x,x,x,x,"A,B",X,,,,,,
3,4.0,Less than 25,0-5000,A,B,8-12 HRS,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,40-60,"5-10,000",E,L,8-12hrs,X,X,,,,,Yes,X,,,NO,,,YES,H,NO,A,Brand,Battery back up & brand,X,,,,,,,,,C,X,,,,,,X
5,6.0,Less than 25,0-5000,E,G,4-8 Hrs,,,,X,,,Yes,X,,,NO,,,YES,,,A,Liked the handset,"Dual SIM, Brand ",X,,,,,,,,,C,X,,,,,X,
6,7.0,25-40,"5-10,000",C,L,8-12hRS,,X,,,,,Yes,,X,,YES,B,D,YES,,YES,A,Company Handest,,,,,,,,,,,,X,,,,,,X
7,8.0,25-40,,E,I,others,X,X,,X,,,Yes,,,X,No,,,Yes,,,A,Only voice calls,Sound quality,,,,,,,,X,,,X,,,,,,X
8,9.0,25-40,"5-10,000",A,G,4-8 Hrs,,,,X,,,Yes,,,X,NO,,,Yes,F,Yes,"A,G","Reasonable, MUSIC PLAYER ",Music Player,X,X,,X,,X,,X,,A,X,,,,,X,
9,10.0,25-40,,C,I,8-12HRS,X,,,X,,,Yes,,,X,No,,,Yes,,,"A,D",Needs only for voice calls & cheap,Radio,,,,,,,,X,,,X,,,X,,,X
10,11.0,25-40,"5-10,000",C,G,8-12HRS,,X,,,,,Yes,,,X,YES,B,D,Yes,H,Yes,A,Resonable,Good battery back up,,,,,,,,,,,X,,,,,,X
11,12.0,Above 60,0-5000,B,I &K,4-8 Hrs,,X,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,25-40,"5-10,000",D,I,others,X,X,,X,,,Yes,,,X,YES,B,C,YES,,YES,"A,D",Only needed for voice calls,sound quality,,X,,,,,,,X,C,X,,,,X,,X
13,14.0,Above 60,0-5000,B,I &K,4-8 Hrs,,X,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15.0,40-60,,C,I,others,,X,,,X,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16.0,Less than 25,,F,H,others,X,X,X,X,,,Yes,,,X,YES,B,D,YES,,,"A, I",Liked the handset,Sound quality,X,X,,,,,,X,,A,X,,,,X,,
16,17.0,40-60,0-5000,D,G,8-12HRS,,X,,,,X,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,40-60,"10-15,000",C,E,others,X,X,,X,,,Yes,,,X,NO,,,YES,,,"A,D",,,,,,,,,,,,,,,,,,,
18,19.0,25-40,"More than 15,000",F,E,4-8HRS,X,X,,X,,,Yes,X,,X,NO,,,YES,,YES,"A,C","Brand, battery back up,good speakers",battery back up,X,X,X,X,X,X,X,X,,C,,X,,,,X,
19,20.0,Above 60,0-5000,D,E,8-12HRS,X,X,,,,,Yes,,,X,YES,B,A,YES,,YES,A,,vocie calls,,,,,,,,X,,,X,,,X,,,X
20,21.0,Less than 25,,F,H,others,,X,X,X,X,X,Yes,,X,,NO,,,Yes,A,Yes,A,"net, GPRS",internet & GPRS,X,,,X,,X,,,X,"A,B",X,,,X,,,X
21,22.0,40-60,"5-10,000",E,E,others,X,X,,,,,Yes,X,X,X,NO,,,YES,,,A,easy to use,reasonable  & radio,,,,,,,,X,,,X,,,X,,,
22,23.0,25-40,"5-10,000",D,I,8-12hrs,X,X,,,,,Yes,,X,X,NO,,,Yes,"A,F",Yes,"A,D,G",Trustworthy brand & sturdy,battery back up,,,,,,,,X,,,X,,,,,,X
23,24.0,40-60,"5-10,000",D,E,8-12hrs,X,,,,,,Yes,,,X,No,,,Yes,E,Yes,"A,D",reasonably priced,"good battery,FM radio",X,X,,,,X,,,X,"A,C",X,,,X,,,X
24,25.0,25-40,"10-15,000",A,K,8-12hrs,X,X,,,,,Yes,X,,,,,,Yes,C,Yes,,reasonably priced,Good battery life,X,X,,,,X,,X,,A,X,,,X,,,
25,26.0,Above 60,"More than 15,000",D,G,8-12hrs,x,X,,,,,Yes,,,X,,,,Yes,"F,G,H",Yes,"A,D,G",good sound quality,Good battery life,,X,,,,X,,X,,A,,X,,X,,,
26,27.0,25-40,"5-10,000",A,E,8-12HRS,,X,,,,,NO,,,,,,,,,,,reasonably priced,voice calls,,,,,,,,X,,,X,,,X,,,
27,28.0,25-40,"5-10,000",E,G,8-12HRS,X,X,,,,,Yes,,X,X,,,,YES,,YES,A,Company Handest,"Radio, Good battery life ",X,,,,,,,,,A,X,,,X,,,
28,29.0,Less than 25,0-5000,E,I,8-12hrs,,X,,,,,Yes,,,X,NO,,,YES,,,A,,,,,,,,,,,,,,,,X,,,
29,30.0,Less than 25,0-5000,E,H,8-12hrs,,X,,,,,NO,,,,,,,,,,,Liked the handset,"WAP, GPRS & entertainment ",,X,,X,,X,,,,A,X,,,,,,
30,31.0,Less than 25,"5-10,000",E,F,8-12hrs,,X,,,,,Yes,,X,,NO,,,NO,,,,Resonable,games,,X,,,,,,,,,X,,,,,,X
31,32.0,Less than 25,"5-10,000",C,G,8-12hrs,,X,,,,,NO,,,,,,,,,,,Liked the handset,voice calls,,X,,,,X,,,,C,X,,,,,,X
32,33.0,Less than 25,0-5000,C,G,8-12hrs,X,,,,,,Yes,X,,,NO,,,YES,,,,,,,,,,,,,,,,,,,,,,
33,34.0,40-60,"5-10,000",C,B,8-12hrs,,X,,,,,Yes,,,X,YES,B,A,YES,,,A,Reasonable,good sound quality,,,,,,,,X,,,X,,,,,,X
34,35.0,25-40,"5-10,000",E,E,8-12hrs,,X,,,,,Yes,,X,,NO,,,Yes,,,,,,,,,,,,,,,,,,,,,,
35,36.0,Less than 25,0-5000,E,E,8-12hrs,X,X,,,,,Yes,,X,,NO,,,Yes,,,,Liked the handset,,,,,,,,,X,,,X,,,X,,,
36,37.0,Less than 25,0-5000,,G,8-12hrs,X,X,,,,,Yes,,,X,YES,B,A,Yes,,YES,A,Good sound quality,Listenining to songs,,X,,,,X,,,,A,X,,,X,,,
37,38.0,Less than 25,0-5000,A,G,8-12hrs,,X,,,,,Yes,,,X,No,,,Yes,,YES,A,,,,,,,,,,,,,,,,X,,,
38,39.0,40-60,"5-10,000",E,E,8-12hrs,,X,,,,,Yes,,X,,No,,,Yes,,YES,A,,Voice calls,,,,,,,,,,,X,,,X,,,
39,40.0,25-40,"5-10,000",D,G,8-12hrs,,X,,,,,No,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
40,41.0,40-60,"5-10,000",D,A,4-8HRS,,X,,,,,NO,,,,,,,,,,,Reasonable,Voice calls,,,,,,,,,,,,,,,,,
41,42.0,25-40,0-5000,E,K,8-12hrs,,X,,,,,NO,,,,,,,,,,,Liked the handset,Games,,,,,,,,,,,X,,,X,,,
42,43.0,25-40,0-5000,E,H,8-12hrs,,X,,,,,Yes,,X,,NO,,,YES,,NO,,Best handset in 3k,battery back up & dual sim,X,X,,,,X,,,,A,X,,,,,,
43,44.0,Above 60,"5-10,000",D,A,8-12hrs,,X,,,,,NO,,,,,,,,,,,small & good battery,battery back up,,,,,,,,,,,X,,,X,,,
44,45.0,40-60,0-5000,A,B,8-12hrs,,X,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46.0,Less than 25,0-5000,E,H,8-12hrs,X,X,,,,,Yes,,X,X,NO,,,YES,,,I,brand,"music player, net ",,X,,,,X,,,,A,X,,,,,X,
46,47.0,40-60,"5-10,000",C,G,8-12hrs,,X,,,,,Yes,,X,X,NO,,,YES,,YES,A,"brand, Looks","MUsic player,",X,,,,,,,,,B,X,,,X,,,
47,48.0,25-40,0-5000,D,E,8-12hrs,,,,X,,,NO,,,,,,,,,,,"Brand, touch screen, batteru, games ",music player & games,,X,,,,X,,,,A,X,,,,,X,
48,49.0,40-60,0-5000,E,G,8-12hrs,,X,,,,,No,,,,,,,,,,,good battery & compoany handset,good battery & torch,,,,,,,,X,,,X,,,X,,,
49,50.0,40-60,"5-10,000",A,A,8-12hrs,,X,,,,,NO,,,,,,,,,,,reasonable,"easy to use, small ",,,,,,,,,,,X,,,,,,
